"","logFC","logCPM","PValue","FDR"
"ENAM|10117",1.92252362459662,-1.06327082772232,3.42584363735394e-80,2.16672547232928e-78
"ZG16|653808",2.06633640136919,-2.00034646740922,5.89173374337863e-80,3.71323935082691e-78
"SPSB4|92369",-2.21502830929008,0.387174261035539,7.25139913969587e-80,4.55418291423836e-78
"C13orf36|400120",-3.01070178226249,-1.89907241026575,8.96961754169572e-80,5.6136679541442e-78
"LGALS14|56891",2.53648316550455,-3.44869085705129,1.48492342387215e-79,9.26117865958039e-78
"C2CD4A|145741",1.73352792675928,4.11236219068365,1.87176604662921e-79,1.16334469652435e-77
"TREML3|340206",-2.31732764675797,-0.15181445812554,2.65389935385208e-79,1.64377035151349e-77
"NETO1|81832",-2.35403317396956,-0.312152404235183,3.82031825891821e-79,2.35809472737762e-77
"SERPINA10|51156",1.78600557112456,0.335882218875532,4.47166626324299e-79,2.7506873089168e-77
"EPYC|1833",-2.24364190317737,0.146784752620219,6.28638756613953e-79,3.85379158576786e-77
"LUZP4|51213",-3.72345576142818,-2.62345716379695,8.02202849485004e-79,4.90107740899647e-77
"STMN4|81551",2.33581382755965,-2.66984494504427,1.26760599810612e-78,7.71821658914647e-77
"PF4|5196",1.84709097957028,-0.359369025804021,1.40072361926135e-78,8.49993163823391e-77
